year,km_driven,seats,max_power (in bph),Mileage,Engine (CC),Maruti,Hyundai,Honda,Toyota,Ford,Mahindra,Tata,Chevrolet,Renault,Volkswagen,Petrol,Diesel,CNG,LPG,Individual,Dealer,TrustmarkDealer,Manual,Automatic,FirstOwner,SecondOwner,ThirdOwner,Fourth&AboveOwner,TestDriveCar,selling_price
2013,60000,5,88.76,21.27,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,425000
2019,30000,5,83.1,21.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,650000
2016,40000,5,108.495,22.0,1498,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,540000
2018,30000,5,67.0,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,448000
2017,80000,5,108.62,21.66,1498,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,500000
2011,60000,5,78.9,20.36,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,235000
2013,120000,5,74.0,22.9,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,450000
2013,170000,5,103.6,20.54,1598,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,450000
2015,90000,5,98.59,22.77,1498,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,610000
2017,10000,5,67.04,23.1,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,484999
2012,28000,5,68.05,19.81,1086,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,290000
2015,45000,5,68.05,19.81,1086,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,351000
2008,68000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,120000
2017,110000,5,88.73,22.54,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,725000
2009,77000,5,67.05,21.79,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,185000
2019,10000,5,81.8,21.21,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,615000
2018,35000,5,83.1,21.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,610000
2013,150000,5,126.32,22.32,1582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,522000
2013,69000,5,88.76,21.9,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,451999
2020,13000,5,67.04,21.63,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,475000
2017,40000,5,83.14,20.85,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,595000
2017,35000,5,67.04,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,440000
2016,50000,5,126.2,19.67,1582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1140000
2017,76139,5,98.96,23.0,1498,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,850000
2018,25000,5,67.0,23.01,999,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,350000
2015,40000,5,67.04,23.1,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,360000
2008,65000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,105000
2013,90000,7,88.76,20.77,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,625000
2015,110000,7,88.76,20.77,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,700000
2012,24300,5,81.8,21.21,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,340000
2018,8000,5,108.5,21.5,1497,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1025000
2011,100000,5,103.6,20.54,1598,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,300000
2011,120000,5,68.0,20.0,1399,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,160000
2015,36600,5,81.8,20.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,515000
2015,50000,5,67.0,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,390000
2010,120000,5,73.9,21.1,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,220000
2010,60000,5,87.2,21.43,1364,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,300000
2017,90000,5,74.0,22.95,1248,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,490000
2016,60000,5,83.14,20.85,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,459999
2019,14000,5,84.0,20.3,1199,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,520000
2015,70000,7,88.76,20.77,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,580000
2017,50000,5,83.14,20.85,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,550000
2018,35000,5,67.0,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,420000
2017,20000,5,81.8,21.21,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,550000
2018,7800,5,81.8,22.0,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,700000
2017,20000,5,81.8,20.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,500000
2015,60000,5,67.04,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,290000
2018,5000,5,83.1,21.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,830000
2011,25000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,160000
2020,32000,5,81.86,20.14,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,524000
2015,40000,5,47.3,22.74,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,245000
2016,140000,5,67.04,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,350000
2010,110000,5,73.9,21.1,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,250000
2017,37000,5,126.2,19.67,1582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1100000
2015,80000,7,88.76,20.77,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,640000
2013,70000,5,74.0,23.4,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,550000
2009,53000,5,78.9,20.36,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,200000
2014,120000,5,74.0,23.4,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,500000
2015,100000,5,83.11,20.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,350000
2017,39000,5,88.73,22.54,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,800000
2013,92500,5,126.3,22.32,1582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,530000
2012,158000,5,74.0,23.4,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,360000
2015,20000,5,83.14,20.85,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,525000
2014,80000,5,81.8,20.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,375000
2015,70000,5,88.73,22.54,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,500000
2012,60000,5,88.76,21.02,1248,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,290000
2005,45000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,110000
2016,20000,5,81.8,20.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,520000
2019,16500,5,81.8,21.01,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,675000
2005,99361,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,90000
2018,10000,5,84.0,20.3,1199,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,645000
2017,47000,5,67.04,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,409999
2018,25000,5,88.7,21.38,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1210000
2016,50000,5,83.1,21.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,650000
2014,50000,5,81.8,20.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,400000
2017,36000,5,67.04,23.1,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,351000
2011,185000,5,73.9,21.1,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,185000
2005,80000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,85000
2013,110000,7,88.76,20.77,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,480000
2010,90000,5,68.0,20.0,1399,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,170000
2018,52000,5,81.8,22.0,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,610000
2018,13000,5,53.26,20.71,799,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,390000
2013,70000,5,67.06,23.59,1364,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,400000
2009,60000,5,78.9,20.36,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,215000
2014,40000,5,83.8,20.45,1461,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,570000
2010,70000,5,78.9,20.36,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,140000
2013,58343,5,67.05,21.79,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,225000
2019,5621,5,81.8,22.0,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,650000
2018,69779,5,81.8,22.0,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,600000
2010,106000,5,78.9,20.36,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,150000
2014,70000,5,126.32,22.32,1582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,535000
2012,100000,5,88.8,21.5,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,300000
2016,50000,5,47.3,22.74,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,240000
2020,35000,5,61.7,20.88,1196,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,409999
2010,80000,5,67.1,20.92,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,150000
2013,50000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,219000
2017,45000,5,88.7,21.38,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,950000
2010,80000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,160000
2013,67000,5,67.1,23.59,1364,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,450000
2013,120000,5,74.0,23.4,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,530000
2015,110000,5,88.8,20.14,1498,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,520000
2011,170000,5,64.1,21.0,1461,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,229999
2014,50000,5,67.04,23.1,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,320000
2015,70000,5,68.05,20.0,1399,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,292000
2014,25000,5,67.04,23.1,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,385000
2019,10000,5,81.8,21.21,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,675000
2018,30000,5,98.96,23.0,1498,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,950000
2015,50000,5,88.73,21.19,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,610000
2012,120000,5,88.73,22.54,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,525000
2015,50000,5,83.11,20.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,434999
2018,18000,5,108.45,19.6,1461,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1050000
2013,60000,5,90.0,23.5,1498,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,300000
2008,50000,5,68.05,19.81,1086,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,229999
2018,60000,5,81.86,20.14,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,500000
2014,25000,5,47.3,22.74,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,250000
2011,70000,5,103.6,20.54,1598,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,250000
2013,45000,5,67.06,23.59,1364,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,409999
2016,50000,5,47.3,22.74,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,270000
2011,90000,5,67.1,20.92,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,165000
2013,60000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,180000
2009,60000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,125000
2012,90000,5,103.6,20.54,1598,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,450000
2011,46000,5,67.1,20.92,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,210000
2017,15000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,320000
2009,70000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,130000
2013,70000,5,67.0,19.68,1399,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,200000
2002,50000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,140000
2015,60000,5,47.3,22.74,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,236000
2015,40000,5,67.04,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,390000
2016,58000,5,126.2,19.67,1582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,850000
2017,10000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,300000
2019,25000,5,68.0,20.3,1086,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,466000
2014,54000,5,98.96,23.0,1498,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,484999
2011,120000,5,90.0,23.0,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,220000
2013,120000,7,88.8,20.77,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,630000
2013,75000,5,126.3,22.32,1582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,525000
2013,70000,5,68.1,20.0,1399,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,245000
2012,76000,5,78.9,20.36,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,210000
2020,1500,5,81.8,21.21,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,730000
2015,40000,5,67.04,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,400000
2015,60000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,280000
2017,40906,5,108.62,21.66,1498,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,700000
2012,43755,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,270000
2011,221889,5,126.32,22.32,1582,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,400000
2015,150546,5,81.8,22.0,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,500000
2011,80000,5,68.05,19.81,1086,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,200000
2016,25000,5,67.0,23.01,999,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,350000
2013,24000,5,47.3,22.74,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,200000
2012,70000,5,68.0,20.0,1399,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,300000
2008,80000,5,68.05,19.81,1086,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,135000
2011,70000,5,74.0,22.9,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,300000
2014,80000,5,74.0,23.4,1248,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,420000
2015,50000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,235000
2016,125000,5,98.59,22.77,1498,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,650000
2016,80000,5,67.04,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,350000
2010,90000,5,90.0,23.0,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,270000
2017,50000,5,74.0,22.95,1248,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,450000
2008,98000,5,78.9,20.36,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,275000
2012,90000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,215000
2019,25000,5,81.8,21.21,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,655000
2019,30000,5,98.96,23.0,1498,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,800000
2011,72000,5,103.6,20.54,1598,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,300000
2015,50000,5,67.04,20.51,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,320000
2010,20000,5,68.05,19.81,1086,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,210000
2016,50000,5,67.0,23.01,999,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,300000
2015,17000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,290000
2016,50000,5,67.04,23.1,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,395000
2014,65000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,195000
2015,50000,5,88.73,22.54,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,715000
2012,135000,5,88.76,21.9,1396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,335000
2014,35000,5,67.04,23.1,998,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,300000
2013,80000,5,88.76,21.02,1248,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,280000
2018,10000,5,81.86,20.14,1197,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,500000
2017,35000,5,67.0,23.01,999,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,300000
2014,60000,5,88.8,20.14,1498,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,350000
2015,30000,5,81.8,20.4,1197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,450000
2011,80000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,180000
2013,80000,5,55.2,21.1,814,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,200000
2005,150000,5,46.3,19.7,796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,85000
2010,80000,5,73.9,22.07,1199,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,275000
