median_income,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,LESS_THAN_1H_OCEAN,INLAND,NEAR_BAY,NEAR_OCEAN,ISLAND,median_house_value
1.1667,-122.27,37.81,52,210,56.0,183,56,0,0,1,0,0,112500
1.5208,-122.28,37.81,52,340,97.0,200,87,0,0,1,0,0,112500
0.8075,-122.28,37.81,52,386,164.0,346,155,0,0,1,0,0,137500
1.8088,-122.28,37.81,35,948,184.0,467,169,0,0,1,0,0,118800
2.4083,-122.28,37.81,52,773,143.0,377,115,0,0,1,0,0,98200
0.977,-122.27,37.81,40,880,451.0,582,380,0,0,1,0,0,118800
0.76,-122.27,37.81,10,875,348.0,546,330,0,0,1,0,0,162500
0.9722,-122.27,37.8,10,105,42.0,125,39,0,0,1,0,0,137500
1.2434,-122.27,37.8,52,249,78.0,396,85,0,0,1,0,0,500001
2.0938,-122.27,37.8,16,994,392.0,800,362,0,0,1,0,0,162500
0.8668,-122.28,37.8,52,215,87.0,904,88,0,0,1,0,0,137500
0.75,-122.28,37.8,52,96,31.0,191,34,0,0,1,0,0,162500
2.6354,-122.27,37.79,27,1055,347.0,718,302,0,0,1,0,0,187500
1.8477,-122.27,37.8,39,1715,623.0,1327,467,0,0,1,0,0,179200
2.0096,-122.26,37.8,36,5329,2477.0,3469,2323,0,0,1,0,0,130000
2.8345,-122.26,37.82,31,4596,1331.0,2048,1180,0,0,1,0,0,183800
2.0062,-122.26,37.81,29,335,107.0,202,91,0,0,1,0,0,125000
1.2185,-122.26,37.82,22,3682,1270.0,2024,1250,0,0,1,0,0,170000
2.6104,-122.26,37.82,37,3633,1085.0,1838,980,0,0,1,0,0,193100
2.4912,-122.25,37.81,29,4656,1414.0,2304,1250,0,0,1,0,0,257800
3.2177,-122.25,37.81,28,5806,1603.0,2563,1497,0,0,1,0,0,273400
3.125,-122.25,37.81,39,854,242.0,389,228,0,0,1,0,0,237500
2.5795,-122.25,37.81,52,2155,701.0,895,613,0,0,1,0,0,350000
2.8406,-122.26,37.81,34,5871,1914.0,2689,1789,0,0,1,0,0,335700
4.9306,-122.24,37.82,52,1509,225.0,674,244,0,0,1,0,0,313400
3.2727,-122.24,37.81,52,2026,482.0,709,456,0,0,1,0,0,268500
3.1691,-122.25,37.81,52,1758,460.0,686,422,0,0,1,0,0,259400
3.9,-122.24,37.82,52,3481,751.0,1444,718,0,0,1,0,0,275700
3.9063,-122.25,37.82,28,3337,855.0,1520,802,0,0,1,0,0,225000
5.0917,-122.25,37.82,52,1424,289.0,550,253,0,0,1,0,0,262500
2.6429,-122.25,37.82,32,3809,1098.0,1806,1022,0,0,1,0,0,218500
3.0233,-122.25,37.82,26,3959,1196.0,1749,1217,0,0,1,0,0,255000
3.1484,-122.25,37.83,52,2376,559.0,939,519,0,0,1,0,0,224100
3.4722,-122.25,37.83,35,1613,428.0,675,422,0,0,1,0,0,243100
3.1429,-122.25,37.83,52,1279,287.0,534,291,0,0,1,0,0,231600
2.4234,-122.25,37.83,28,5022,1750.0,2558,1661,0,0,1,0,0,218500
3.0897,-122.25,37.83,52,4190,1105.0,1786,1037,0,0,1,0,0,234100
5.8596,-122.23,37.84,50,2515,399.0,970,373,0,0,1,0,0,327600
5.2868,-122.23,37.84,47,3175,454.0,1098,485,0,0,1,0,0,347600
5.956,-122.24,37.83,41,2576,406.0,794,376,0,0,1,0,0,366100
4.9643,-122.24,37.85,37,334,54.0,98,47,0,0,1,0,0,335000
6.3434,-122.23,37.85,52,2800,411.0,1061,403,0,0,1,0,0,373600
5.1773,-122.24,37.84,52,3529,574.0,1177,555,0,0,1,0,0,389500
7.2354,-122.24,37.85,52,2612,365.0,901,367,0,0,1,0,0,391100
5.457,-122.22,37.85,28,5287,1048.0,2031,956,0,0,1,0,0,337300
7.5,-122.22,37.84,50,2935,473.0,1031,479,0,0,1,0,0,295200
6.0194,-122.21,37.84,44,3424,597.0,1358,597,0,0,1,0,0,292300
7.5544,-122.21,37.83,40,4991,674.0,1616,654,0,0,1,0,0,411500
6.0666,-122.2,37.84,30,2211,346.0,844,343,0,0,1,0,0,311500
7.0548,-122.21,37.84,34,3038,490.0,1140,496,0,0,1,0,0,325900
11.6017,-122.19,37.84,18,1617,210.0,533,194,0,0,1,0,0,392600
7.4882,-122.2,37.84,35,2865,460.0,1072,443,0,0,1,0,0,319300
6.8976,-122.21,37.83,34,5065,788.0,1627,766,0,0,1,0,0,333300
8.2049,-122.19,37.83,28,1326,184.0,463,190,0,0,1,0,0,335200
8.401,-122.2,37.83,26,1589,223.0,542,211,0,0,1,0,0,351200
6.8538,-122.19,37.83,29,1791,271.0,661,269,0,0,1,0,0,368900
8.317,-122.19,37.82,32,1835,264.0,635,263,0,0,1,0,0,365900
7.0175,-122.2,37.82,37,1229,181.0,420,176,0,0,1,0,0,366700
6.3302,-122.2,37.82,39,3770,534.0,1265,500,0,0,1,0,0,362800
6.3624,-122.18,37.81,30,292,38.0,126,52,0,0,1,0,0,483300
7.0549,-122.21,37.82,52,2375,333.0,813,350,0,0,1,0,0,331400
6.7851,-122.2,37.81,45,2964,436.0,1067,426,0,0,1,0,0,323500
2.8929,-122.21,37.8,50,2833,605.0,1260,552,0,0,1,0,0,216700
3.0812,-122.21,37.8,38,2254,535.0,951,487,0,0,1,0,0,233100
5.2402,-122.21,37.81,52,1389,212.0,510,224,0,0,1,0,0,296400
6.5217,-122.22,37.81,52,1971,335.0,765,308,0,0,1,0,0,273700
3.2632,-122.22,37.8,52,2183,465.0,1129,460,0,0,1,0,0,227700
3.0298,-122.22,37.8,52,2286,464.0,1073,441,0,0,1,0,0,199600
4.5428,-122.22,37.8,52,2721,541.0,1185,515,0,0,1,0,0,239800
4.072,-122.22,37.81,52,2024,339.0,756,340,0,0,1,0,0,270100
5.3509,-122.22,37.81,52,2944,536.0,1034,521,0,0,1,0,0,302100
3.1603,-122.23,37.8,52,2033,486.0,787,459,0,0,1,0,0,269500
4.7708,-122.23,37.81,52,1433,229.0,612,213,0,0,1,0,0,314700
8.1564,-122.22,37.81,52,2927,402.0,1021,380,0,0,1,0,0,390100
8.8793,-122.23,37.81,52,2315,292.0,861,258,0,0,1,0,0,410300
6.8591,-122.24,37.81,52,2485,313.0,953,327,0,0,1,0,0,352400
6.0302,-122.24,37.81,52,1490,238.0,634,256,0,0,1,0,0,287300
7.508,-122.23,37.81,52,2814,365.0,878,352,0,0,1,0,0,348700
2.7477,-122.24,37.81,52,2093,550.0,918,483,0,0,1,0,0,243800
2.1944,-122.24,37.8,52,888,168.0,360,175,0,0,1,0,0,211500
3.0149,-122.25,37.8,52,2087,510.0,1197,488,0,0,1,0,0,218400
3.675,-122.24,37.81,52,2513,502.0,1048,518,0,0,1,0,0,269900
3.225,-122.25,37.81,46,3232,835.0,1373,747,0,0,1,0,0,218800
2.9345,-122.25,37.8,42,4120,1065.0,1715,1015,0,0,1,0,0,225000
2.1429,-122.25,37.8,43,2364,792.0,1359,722,0,0,1,0,0,250000
1.6121,-122.25,37.8,41,1471,469.0,1062,413,0,0,1,0,0,171400
1.3929,-122.25,37.8,29,2468,864.0,1335,773,0,0,1,0,0,193800
2.3173,-122.24,37.79,27,1632,492.0,1171,429,0,0,1,0,0,125000
1.7772,-122.25,37.79,45,1786,526.0,1475,460,0,0,1,0,0,97500
2.6458,-122.25,37.79,50,629,188.0,742,196,0,0,1,0,0,125000
2.181,-122.25,37.79,52,1339,391.0,1086,363,0,0,1,0,0,138800
2.2303,-122.25,37.8,36,1678,606.0,1645,543,0,0,1,0,0,116700
1.6504,-122.25,37.8,43,2344,647.0,1710,644,0,0,1,0,0,151800
2.2697,-122.24,37.8,52,996,228.0,731,228,0,0,1,0,0,127000
2.1563,-122.24,37.8,52,1591,373.0,1118,347,0,0,1,0,0,128600
2.1348,-122.24,37.8,52,1586,398.0,1006,335,0,0,1,0,0,140600
2.6292,-122.24,37.8,47,2046,588.0,1213,554,0,0,1,0,0,182700
2.3833,-122.23,37.8,52,1192,289.0,772,257,0,0,1,0,0,146900
2.957,-122.24,37.8,52,1803,420.0,1321,401,0,0,1,0,0,122800
2.5238,-122.24,37.8,49,2838,749.0,1487,677,0,0,1,0,0,169300
1.9375,-122.23,37.8,52,783,184.0,488,186,0,0,1,0,0,126600
1.9028,-122.23,37.8,51,1590,414.0,949,392,0,0,1,0,0,127900
2.25,-122.23,37.8,50,1746,480.0,1149,415,0,0,1,0,0,123500
2.3929,-122.23,37.8,52,1252,299.0,844,280,0,0,1,0,0,111900
2.1917,-122.23,37.79,43,5963,1344.0,4367,1231,0,0,1,0,0,112800
2.9357,-122.23,37.79,52,1783,395.0,1659,412,0,0,1,0,0,107900
1.8854,-122.23,37.79,30,999,264.0,1011,263,0,0,1,0,0,137500
2.1638,-122.24,37.79,39,1469,431.0,1464,389,0,0,1,0,0,105500
2.125,-122.24,37.79,47,1372,395.0,1237,303,0,0,1,0,0,95500
3.375,-122.24,37.79,52,674,180.0,647,168,0,0,1,0,0,116100
2.2542,-122.24,37.79,43,1626,376.0,1284,357,0,0,1,0,0,112200
2.1,-122.25,37.79,51,175,43.0,228,55,0,0,1,0,0,75000
1.6,-122.25,37.79,39,461,129.0,381,123,0,0,1,0,0,112500
3.625,-122.25,37.79,52,902,237.0,846,227,0,0,1,0,0,125000
1.6929,-122.26,37.8,20,2373,779.0,1659,676,0,0,1,0,0,115000
1.6471,-122.22,37.77,52,391,128.0,520,138,0,0,1,0,0,95000
2.59,-122.22,37.77,52,1137,301.0,866,259,0,0,1,0,0,96400
2.57,-122.23,37.77,52,769,206.0,612,183,0,0,1,0,0,72000
2.6429,-122.23,37.78,52,472,146.0,415,126,0,0,1,0,0,71300
3.0257,-122.23,37.78,52,862,215.0,994,213,0,0,1,0,0,80800
1.4886,-122.22,37.78,50,1920,530.0,1525,477,0,0,1,0,0,128800
1.9338,-122.23,37.78,43,1420,472.0,1506,438,0,0,1,0,0,112500
1.4844,-122.23,37.78,52,986,258.0,1008,255,0,0,1,0,0,119400
1.6009,-122.23,37.78,44,2340,825.0,2813,751,0,0,1,0,0,118100
2.0375,-122.23,37.79,48,1696,396.0,1481,343,0,0,1,0,0,122500
2.293,-122.23,37.79,49,1175,217.0,859,219,0,0,1,0,0,106300
2.1494,-122.22,37.79,37,2343,574.0,1608,523,0,0,1,0,0,132500
1.6198,-122.23,37.79,30,610,145.0,425,140,0,0,1,0,0,122700
1.3281,-122.23,37.79,40,930,199.0,564,184,0,0,1,0,0,113300
3.5156,-122.22,37.79,44,1487,314.0,961,272,0,0,1,0,0,109500
3.9048,-122.22,37.79,52,3424,690.0,2273,685,0,0,1,0,0,164700
3.0893,-122.21,37.79,52,762,190.0,600,195,0,0,1,0,0,125000
2.6042,-122.22,37.79,46,2366,575.0,1647,527,0,0,1,0,0,124700
2.5,-122.22,37.79,49,1826,450.0,1201,424,0,0,1,0,0,136700
2.7969,-122.22,37.79,38,3049,711.0,2167,659,0,0,1,0,0,141700
2.8321,-122.2,37.79,29,1640,376.0,939,340,0,0,1,0,0,150000
2.9583,-122.21,37.79,47,1543,307.0,859,292,0,0,1,0,0,138800
2.8365,-122.21,37.79,34,2364,557.0,1517,516,0,0,1,0,0,139200
2.875,-122.21,37.79,35,1745,409.0,1143,386,0,0,1,0,0,143800
3.0682,-122.21,37.8,39,2003,500.0,1109,464,0,0,1,0,0,156500
3.0757,-122.21,37.8,39,2018,447.0,1221,446,0,0,1,0,0,151000
4.9559,-122.2,37.8,43,3045,499.0,1115,455,0,0,1,0,0,273000
4.7721,-122.2,37.8,52,1547,293.0,706,268,0,0,1,0,0,217100
3.4861,-122.21,37.8,52,3519,711.0,1883,706,0,0,1,0,0,187100
5.1184,-122.2,37.8,41,2070,354.0,804,340,0,0,1,0,0,239600
4.0977,-122.21,37.8,48,1321,263.0,506,252,0,0,1,0,0,229700
4.744,-122.19,37.8,48,1694,259.0,610,238,0,0,1,0,0,257300
4.2727,-122.19,37.8,46,1938,341.0,768,332,0,0,1,0,0,246900
2.9844,-122.19,37.79,50,968,195.0,462,184,0,0,1,0,0,179900
4.1739,-122.2,37.79,40,1060,256.0,667,235,0,0,1,0,0,169600
3.8487,-122.2,37.8,46,2041,405.0,1059,399,0,0,1,0,0,203300
4.0114,-122.19,37.8,52,1813,271.0,637,277,0,0,1,0,0,263400
4.6563,-122.19,37.79,45,2718,451.0,1106,454,0,0,1,0,0,231800
2.9297,-122.19,37.79,28,3144,761.0,1737,669,0,0,1,0,0,140500
2.3036,-122.2,37.79,35,1802,459.0,1009,390,0,0,1,0,0,126000
2.6667,-122.2,37.79,49,882,195.0,737,210,0,0,1,0,0,122000
2.619,-122.2,37.79,44,1621,452.0,1354,491,0,0,1,0,0,134700
2.4167,-122.21,37.79,45,2115,533.0,1530,474,0,0,1,0,0,139400
2.7788,-122.2,37.79,45,2021,528.0,1410,480,0,0,1,0,0,115400
2.7352,-122.21,37.78,46,2239,508.0,1390,569,0,0,1,0,0,137300
1.8472,-122.21,37.78,52,1477,300.0,1065,269,0,0,1,0,0,137000
2.6583,-122.21,37.78,52,1056,224.0,792,245,0,0,1,0,0,142600
3.0536,-122.21,37.78,49,898,244.0,779,245,0,0,1,0,0,137500
2.3906,-122.22,37.78,44,2968,710.0,2269,610,0,0,1,0,0,111700
1.7188,-122.21,37.78,43,1702,460.0,1227,407,0,0,1,0,0,126800
2.625,-122.21,37.78,47,881,248.0,753,241,0,0,1,0,0,111300
2.8015,-122.22,37.77,40,494,114.0,547,135,0,0,1,0,0,114800
1.7276,-122.22,37.78,50,1776,473.0,1807,440,0,0,1,0,0,102300
2.0801,-122.22,37.78,44,1678,514.0,1700,495,0,0,1,0,0,131900
2.489,-122.22,37.78,51,1637,463.0,1543,393,0,0,1,0,0,119100
1.7546,-122.21,37.76,52,1420,314.0,1085,300,0,0,1,0,0,80600
4.0904,-122.21,37.77,52,591,173.0,353,137,0,0,1,0,0,80600
2.6765,-122.21,37.77,52,745,153.0,473,149,0,0,1,0,0,88800
2.4338,-122.2,37.77,49,2272,498.0,1621,483,0,0,1,0,0,102400
2.3309,-122.21,37.77,46,1234,375.0,1183,354,0,0,1,0,0,98700
2.2604,-122.21,37.77,43,1017,328.0,836,277,0,0,1,0,0,100000
1.8039,-122.19,37.77,42,932,254.0,900,263,0,0,1,0,0,92300
2.2562,-122.2,37.77,39,2689,597.0,1888,537,0,0,1,0,0,94800
2.0562,-122.2,37.77,41,1547,415.0,1024,341,0,0,1,0,0,102000
3.5398,-122.2,37.78,52,2300,443.0,1225,423,0,0,1,0,0,158400
3.1167,-122.2,37.78,39,1752,399.0,1071,376,0,0,1,0,0,121600
2.5401,-122.2,37.78,50,1867,403.0,1128,378,0,0,1,0,0,129100
2.898,-122.2,37.77,43,2430,502.0,1537,484,0,0,1,0,0,121400
2.3125,-122.21,37.78,44,1729,414.0,1240,393,0,0,1,0,0,102800
2.875,-122.19,37.78,52,1026,180.0,469,168,0,0,1,0,0,160000
3.3715,-122.19,37.77,52,2170,428.0,1086,425,0,0,1,0,0,143900
3.5114,-122.19,37.77,52,2329,445.0,1144,417,0,0,1,0,0,151200
4.3125,-122.19,37.78,52,2492,415.0,1109,375,0,0,1,0,0,164400
3.22,-122.19,37.78,52,2198,397.0,984,369,0,0,1,0,0,156500
3.875,-122.18,37.78,33,142,31.0,575,47,0,0,1,0,0,225000
5.2328,-122.19,37.78,49,1183,205.0,496,209,0,0,1,0,0,174200
3.7262,-122.19,37.78,52,1070,193.0,555,190,0,0,1,0,0,166900
4.5893,-122.2,37.78,45,1766,332.0,869,327,0,0,1,0,0,163500
5.2578,-122.18,37.79,39,617,95.0,236,106,0,0,1,0,0,253000
7.0875,-122.18,37.79,41,1411,233.0,626,214,0,0,1,0,0,240700
3.9712,-122.18,37.79,46,2109,387.0,922,329,0,0,1,0,0,208100
2.9514,-122.19,37.79,47,1229,243.0,582,256,0,0,1,0,0,198100
2.6667,-122.19,37.79,50,954,217.0,546,201,0,0,1,0,0,172800
5.4446,-122.18,37.81,37,1643,262.0,620,266,0,0,1,0,0,336700
6.2838,-122.18,37.8,34,1355,195.0,442,195,0,0,1,0,0,318200
6.7527,-122.18,37.8,23,2317,336.0,955,328,0,0,1,0,0,285800
7.0712,-122.13,37.77,24,2459,317.0,916,324,0,0,1,0,0,293000
5.9849,-122.16,37.79,22,12842,2048.0,4985,1967,0,0,1,0,0,371000
3.6875,-122.17,37.78,42,1524,260.0,651,267,0,0,1,0,0,157300
2.875,-122.17,37.77,30,3326,746.0,1704,703,0,0,1,0,0,135300
3.4205,-122.18,37.78,43,1985,440.0,1085,407,0,0,1,0,0,136700
3.2984,-122.18,37.78,50,1642,322.0,713,284,0,0,1,0,0,160700
3.875,-122.17,37.78,49,893,177.0,468,181,0,0,1,0,0,140600
4.175,-122.17,37.78,52,653,128.0,296,121,0,0,1,0,0,144000
4.7708,-122.16,37.77,48,977,194.0,446,180,0,0,1,0,0,156300
3.5739,-122.16,37.77,45,2324,397.0,968,384,0,0,1,0,0,176000
3.0958,-122.16,37.77,39,1583,349.0,857,316,0,0,1,0,0,145800
3.3958,-122.17,37.77,39,1612,342.0,912,322,0,0,1,0,0,141900
1.871,-122.17,37.77,31,2424,533.0,1360,452,0,0,1,0,0,90700
1.9356,-122.17,37.76,41,1594,367.0,1074,355,0,0,1,0,0,90600
2.1842,-122.17,37.76,47,2118,413.0,965,382,0,0,1,0,0,107900
2.2917,-122.18,37.76,37,1575,358.0,933,320,0,0,1,0,0,107000
2.4333,-122.17,37.76,38,1764,397.0,987,354,0,0,1,0,0,98200
1.9479,-122.18,37.76,50,1187,261.0,907,246,0,0,1,0,0,89500
3.9063,-122.18,37.76,52,754,175.0,447,165,0,0,1,0,0,93800
1.8407,-122.18,37.76,49,2308,452.0,1299,451,0,0,1,0,0,96700
2.0786,-122.18,37.77,27,909,236.0,396,157,0,0,1,0,0,97500
2.8125,-122.18,37.77,42,1180,257.0,877,268,0,0,1,0,0,97300
1.8913,-122.18,37.76,43,2018,408.0,1111,367,0,0,1,0,0,91200
1.7056,-122.19,37.76,49,1368,282.0,790,269,0,0,1,0,0,91400
2.2768,-122.18,37.77,52,2744,547.0,1479,554,0,0,1,0,0,96200
3.2552,-122.18,37.77,51,2107,471.0,1173,438,0,0,1,0,0,120100
2.0556,-122.18,37.77,52,1748,362.0,1029,366,0,0,1,0,0,100000
2.4659,-122.19,37.76,52,2024,391.0,1030,350,0,0,1,0,0,94700
1.75,-122.2,37.76,47,1116,259.0,826,279,0,0,1,0,0,85700
2.0469,-122.19,37.77,41,2036,510.0,1412,454,0,0,1,0,0,89300
2.7159,-122.19,37.77,45,1852,393.0,1132,349,0,0,1,0,0,101400
1.2083,-122.19,37.76,41,921,207.0,522,159,0,0,1,0,0,72500
1.925,-122.19,37.76,45,995,238.0,630,237,0,0,1,0,0,74100
1.5809,-122.2,37.75,36,606,132.0,531,133,0,0,1,0,0,70000
1.4097,-122.2,37.76,37,2680,736.0,1925,667,0,0,1,0,0,84600
0.7683,-122.19,37.76,38,1493,370.0,1144,351,0,0,1,0,0,81800
1.3194,-122.19,37.75,19,2207,565.0,1481,520,0,0,1,0,0,81400
0.8012,-122.19,37.75,28,856,189.0,435,162,0,0,1,0,0,81800
1.9479,-122.19,37.76,26,1293,297.0,984,303,0,0,1,0,0,85800
1.1765,-122.19,37.74,36,847,212.0,567,159,0,0,1,0,0,87100
2.3456,-122.18,37.74,42,541,154.0,380,123,0,0,1,0,0,83500
2.1538,-122.19,37.73,44,1066,253.0,825,244,0,0,1,0,0,79700
2.5139,-122.19,37.74,43,707,147.0,417,155,0,0,1,0,0,83400
1.2625,-122.19,37.73,45,1528,291.0,801,287,0,0,1,0,0,84700
2.9063,-122.18,37.73,42,909,215.0,646,198,0,0,1,0,0,80000
2.5192,-122.18,37.73,43,1391,293.0,855,285,0,0,1,0,0,76400
2.1111,-122.18,37.73,44,548,119.0,435,136,0,0,1,0,0,79700
2.455,-122.18,37.73,42,4074,874.0,2736,780,0,0,1,0,0,82400
2.4028,-122.17,37.74,41,1613,445.0,1481,414,0,0,1,0,0,97700
2.15,-122.17,37.74,47,463,134.0,327,137,0,0,1,0,0,97200
2.4776,-122.17,37.74,43,818,193.0,494,179,0,0,1,0,0,101600
2.1587,-122.17,37.73,43,1473,371.0,1231,341,0,0,1,0,0,86500
1.8438,-122.18,37.74,35,504,126.0,323,109,0,0,1,0,0,90500
3.0298,-122.17,37.74,46,1026,226.0,749,225,0,0,1,0,0,107600
2.25,-122.17,37.74,46,769,183.0,693,178,0,0,1,0,0,84200
2.2467,-122.18,37.74,46,2103,391.0,1339,354,0,0,1,0,0,88900
4.0469,-122.18,37.75,45,330,76.0,282,80,0,0,1,0,0,80700
1.325,-122.18,37.75,46,941,218.0,621,195,0,0,1,0,0,87100
2.1731,-122.18,37.75,45,990,261.0,901,260,0,0,1,0,0,82000
1.9167,-122.19,37.75,36,1126,263.0,482,150,0,0,1,0,0,82800
2.069,-122.18,37.75,43,1036,233.0,652,213,0,0,1,0,0,84600
1.712,-122.18,37.75,36,1047,214.0,651,166,0,0,1,0,0,82100
